Track,Artist,SpotifyID,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness
Noticed,Lil Mosey,7zLYKWcXnYeHHWidalz7rj,0.699,0.558,11,1,0.0603,0.462,0,0.116,0.493,79.992,165000,-7.622
Open Letter,Lil Wayne,2DnH4XlEkghUdE8ymdVom5,0.769,0.55,9,0,0.359,0.0283,0,0.139,0.36,97.01,269287,-6.299
Problems,Lil Wayne,0ubdf6zWT1It2saK41SkO0,0.807,0.571,2,1,0.312,0.0169,0,0.252,0.0993,139.996,208504,-6.937
Hittas,Lil Wayne,5s6pKnF3ZPtuqvEx1i1V7U,0.788,0.765,2,1,0.439,0.276,0,0.216,0.667,144.046,223617,-3.93
Open Safe,Lil Wayne,7EgI0dCaQuHFe3OTj5EpWI,0.929,0.598,1,1,0.156,0.00705,0,0.0549,0.501,96.012,223939,-5.373
Took His Time,Lil Wayne,1Dk3CfJEtqvj7Xg2AWwfEn,0.752,0.703,5,0,0.213,0.144,0,0.325,0.641,149.988,262400,-3.417
Mess,Lil Wayne,6y4pOReFqH2wzo4CV91cZC,0.641,0.579,9,1,0.0895,0.479,0.0000958,0.214,0.421,145.994,212428,-8.278
Let It All Work Out,Lil Wayne,3BUWNzPWz2mDbptZmGEXpB,0.552,0.562,11,1,0.164,0.0216,0,0.302,0.439,135.014,316192,-6.862
Used 2,Lil Wayne,68lOQPb5tX8U2cQRuas0L2,0.678,0.666,5,1,0.487,0.337,0,0.115,0.523,87.634,240199,-6.949
Rap Devil,Machine Gun Kelly,63TyoT9Ee03rQxv8xmdJ2l,0.895,0.839,0,1,0.227,0.217,0.000003,0.239,0.756,149.951,286117,-4.512
Demon,Lil Wayne,1kaxyXcAi5ZHF3Q94QXsHK,0.754,0.615,4,0,0.171,0.273,0,0.13,0.345,140.04,214314,-5.346
Perfect Strangers,Lil Wayne,4E3qImtJzRqLt8ZZyLceOE,0.746,0.644,7,1,0.232,0.4,0,0.095,0.542,146.178,249751,-2.605
Head Above Water,Avril Lavigne,7gY3cyGcB2wnk2xDXiA0pe,0.578,0.694,5,1,0.0706,0.0112,0,0.102,0.268,129.921,220850,-5.351
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,1,0.0232,0.163,0,0.106,0.168,95.05,263400,-6.312
Nice For What,Drake,3CA9pLiwRIGtUBiMjbZmRw,0.586,0.909,8,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,-6.474
Barbie Dreams,Nicki Minaj,6Poyf51k7W3NKnsGwAI90B,0.855,0.787,8,0,0.334,0.313,0,0.194,0.702,88.003,279867,-4.134
All Girls Are The Same,Juice WRLD,4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,0,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,-7.226
Fall,Eminem,58QhkbaAkLFnn7JwAnAato,0.83,0.546,1,1,0.295,0.227,0,0.112,0.535,182.973,262494,-5.716
Life Changes,Thomas Rhett,4Vxu50qVrQcycjRyJQaZLC,0.687,0.845,7,1,0.0576,0.1,0,0.0452,0.809,87.972,190227,-4.37
Hooked,Dylan Scott,3DV49ruvI5Sl6iisPZAc2c,0.597,0.721,9,1,0.0356,0.0362,0,0.0832,0.437,132.054,149293,-6.422
Yosemite,Travis Scott,7lAK3oHbfEnvUQWosrMMpR,0.785,0.554,0,1,0.0409,0.283,0.0000034,0.116,0.144,128.047,150043,-6.571
Stargazing,Travis Scott,7wBJfHzpfI3032CSD7CE2m,0.487,0.789,8,1,0.044,0.00947,0.00000405,0.189,0.0564,150.007,270715,-3.69
Lean Wit Me,Juice WRLD,3oDkdAySo1VQQG0ptV7uwa,0.665,0.651,1,1,0.156,0.0414,0,0.0896,0.237,163.935,175755,-5.515
Self Care,Mac Miller,5bJ1DrEM4hNCafcDd1oxHx,0.52,0.538,1,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,-8.109
The Ringer,Eminem,2jt2WxXMCD4zjACthkJQVE,0.939,0.551,1,1,0.291,0.0311,0,0.192,0.42,118.552,337941,-9.126
Rich,Maren Morris,4H0vNUFcHPz5lytcLjwqkr,0.565,0.855,5,1,0.0557,0.0445,0,0.32,0.852,74.98,208893,-4.189
Apes**t,The Carters,0B08s1tLWCXoFmGP0vIubM,0.698,0.783,2,1,0.266,0.016,0,0.176,0.378,160.034,264853,-6.503
Mercy,Brett Young,2VIPU72L6tIR4w8J8ap6Kp,0.638,0.367,4,1,0.0266,0.84,0,0.0999,0.219,71.957,217120,-7.906
Cry Pretty,Carrie Underwood,7B9UAoGiN4iMCv4s40xoiM,0.374,0.742,6,1,0.0432,0.00517,0,0.11,0.21,139.953,247320,-3.36
Kamikaze,Eminem,2gsNpSn7VvvJuSrIDfRoYy,0.78,0.808,2,1,0.484,0.112,0,0.329,0.642,79.982,216029,-5.175
Mine,Bazzi,7uzmGiiJyRfuViKKK3lVmR,0.71,0.789,4,1,0.0722,0.0161,0.00000277,0.451,0.717,142.929,131064,-3.874
Hurt Feelings,Mac Miller,5p7GiBZNL1afJJDUrOA6C8,0.69,0.462,8,1,0.13,0.343,0.00218,0.113,0.325,157.655,245640,-8.054
Greatest,Eminem,2XTquzYQAdT1Hk78bOUwsv,0.809,0.737,1,1,0.108,0.0441,0,0.341,0.367,80.025,226938,-5.186
Come Back To Earth,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,0.272,0.238,2,0,0.0349,0.89,0.00925,0.275,0.119,83.507,161840,-12.148
Feels Like Summer,Childish Gambino,7p4vHnYXkxlzvfePJVpcTr,0.554,0.596,7,1,0.13,0.162,0.00482,0.0805,0.255,165.728,297404,-8.214
Narcos,Migos,0wbnC9AUenxp613TYaJsGK,0.936,0.585,0,1,0.125,0.0142,0,0.132,0.242,124.991,255379,-6.914
Normal,Eminem,0evt4UZbdhnHtcAnxkm6A1,0.907,0.64,6,1,0.354,0.261,0,0.0785,0.803,120.995,222477,-6.542
Stepping Stone,Eminem,60Z57Wdrn0pEVpHI7d7GAX,0.616,0.684,7,1,0.311,0.0305,0,0.376,0.312,179.503,309638,-6.032
Summertime Magic,Childish Gambino,4j3GWI86JvSaF0BLdmgcfF,0.76,0.579,0,1,0.0569,0.0129,0.00351,0.106,0.125,100.01,213600,-7.374
Friends,Marshmello & Anne-Marie,08bNPGLD8AhKpnnERrAc6G,0.626,0.88,9,0,0.0504,0.205,0,0.128,0.534,95.079,202621,-2.384
Never Be The Same,Camila Cabello,4eWQlBRaTjPPUlzacqEeoQ,0.637,0.713,0,1,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,-4.333
One Kiss,Calvin Harris & Dua Lipa,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,214847,-3.24
Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,0.921,0.537,9,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,-5.723
Get Along,Kenny Chesney,6n6OQfBpCgzF9oEg8zhBN7,0.632,0.804,7,1,0.0503,0.101,0,0.17,0.35,92.456,199625,-6.109
Unica,Ozuna,33b2wX9d0kxqxhi7lcsC1A,0.653,0.859,0,1,0.0449,0.212,0,0.111,0.706,174.038,218387,-3.048
Changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO,0.669,0.308,11,1,0.029,0.883,0,0.0984,0.52,64.934,121887,-10.068
Happy Now,Zedd & Elley Duhe,7ir8cXuMAfXx9BCYkvYCz0,0.799,0.52,1,1,0.17,0.153,0.000626,0.268,0.334,161.968,192222,-5.044
Level Up,Ciara,5ubwXXOsH9bUhZsQ0Cybha,0.746,0.825,1,1,0.169,0.0142,0.0107,0.121,0.584,152.914,204150,-4.666
Taking A Walk,Trippie Redd,4mHgYpuGHu99Mw69E83CP2,0.767,0.538,0,0,0.052,0.68,0,0.192,0.343,81.031,121680,-6.044
Mob Ties,Drake,7rC5Pl8rQSX4myONQHYPBK,0.755,0.575,4,0,0.0678,0.0456,0.00124,0.276,0.49,85.987,205147,-8.393
This Is America,Childish Gambino,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,1,0.137,0.117,0,0.354,0.549,120.024,225773,-6.159
In My Blood,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,0.622,0.712,5,1,0.066,0.0573,0,0.13,0.487,140.025,211360,-7.321
Sweetener,Ariana Grande,1Bvxlmt3CtZTyls2IJQ38T,0.66,0.686,4,1,0.0537,0.163,0.00000732,0.815,0.51,119.955,174000,-4.147
Everytime,Ariana Grande,2Hk1xo2ZrysHtBQMmZvg8U,0.404,0.701,10,0,0.0469,0.0537,0.000102,0.531,0.198,149.854,131928,-4.764
R.E.M,Ariana Grande,2I2HYr4FLb6LPfdgcKxK2J,0.707,0.554,10,0,0.0585,0.346,0.00000531,0.982,0.553,80.008,177913,-9.659
Kiss Somebody,Morgan Evans,4f3fb3alVLFc8Ga4ncpg7x,0.57,0.684,6,1,0.0465,0.136,0,0.205,0.531,89.012,213183,-7.054
Goodnight N Go,Ariana Grande,0ao5xnzWNAt0dZFF6v4Sct,0.617,0.609,1,1,0.0323,0.144,0.00000102,0.978,0.157,111.026,188787,-4.243
Growing Pains,Alessia Cara,003eoIwxETJujVWmNFMoZy,0.353,0.755,1,0,0.733,0.0822,0,0.39,0.437,191.153,193680,-6.276
