Track,Artist,SpotifyID,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness
Dreamer,Livin' Joy,6wetvpPWooBdmAEOKnDhpo,0.74,0.762,5,0,0.0418,0.0131,0,0.283,0.832,127.372,223535,-7.166
Esa Nena Linda,Artie The 1 Man Party,5mYupz58186F9hkhW9Ideo,0.715,0.956,8,0,0.059,0.00436,0.831,0.0326,0.844,129.999,192000,-6.795
Name,Goo Goo Dolls,1G8jae4jD8mwkXdodqHsBM,0.464,0.701,9,1,0.0341,0.0691,0.00182,0.0766,0.407,73.97,270000,-5.943
Who Do U Love,Deborah Cox,54lhKZ69xX8TeHRgWNU3rU,0.69,0.888,6,0,0.186,0.163,0.0000225,0.659,0.686,87.918,262933,-5.781
Lucky Love,Ace Of Base,2O5MugeVVDlVs4ThMCy1Lm,0.769,0.662,5,1,0.0319,0.129,0.00102,0.0814,0.863,104.104,175747,-7.238
One For The Money,Horace Brown,4jw4BotdO2WfbF0U1J7mXc,0.759,0.536,3,1,0.0429,0.0455,0,0.0313,0.842,90.073,265467,-8.537
Wonderwall,Oasis,5wj4E6IsrVtn8IBJQOd0Cl,0.372,0.865,2,1,0.0381,0.000453,0,0.234,0.478,174.53,258733,-4.918
Glycerine,Bush,7wpYSigAhQeZp3cdsMQ3Af,0.437,0.337,5,1,0.0326,0.0371,0.000946,0.0981,0.0784,114.239,266493,-11.439
Peaches,The Presidents Of The United States Of America,3VEFybccRTeWSZRkJxDuNR,0.417,0.849,1,0,0.0481,0.0146,0.000387,0.0673,0.594,94.267,171693,-4.199
Love Don't Live Here Anymore,Madonna,1S14j6I0RrdQoxrm7zZNHL,0.49,0.354,7,0,0.0434,0.329,0.0000331,0.333,0.424,138.651,288267,-14.953
Cumbersome,Seven Mary Three,6u1yKoh00WaoSpNp46RzKF,0.543,0.79,11,1,0.0358,0.00811,0,0.238,0.339,80.923,236973,-5.932
The 13th,The Cure,1BKNn0VGF9vej2aAaz395Y,0.706,0.679,1,1,0.0305,0.759,0.000451,0.363,0.548,115.377,257200,-4.408
I Don't Wanna Be Alone,Shai,3CfSvpuNeWbiM1vjZwWXRq,0.774,0.437,0,1,0.0263,0.565,0,0.0762,0.576,104.215,295467,-8.021
Hook,Blues Traveler,27IRo2rYeizhRMDaNVplNM,0.562,0.742,9,1,0.0346,0.0369,0.00000147,0.102,0.793,165.6,289200,-6.355
Jesus To A Child,George Michael,2SzCxX6M6vDwdEwnHDiTaY,0.534,0.415,1,0,0.0278,0.314,0.000365,0.0847,0.188,173.561,411147,-11.781
Have I Never,A Few Good Men,4qD8RygKB5VpKxwvjOyTDD,0.717,0.377,4,1,0.0288,0.282,0,0.138,0.161,120.036,336533,-8.68
Soul Food,Goodie Mob,0oipDSP2WW7wf5NeEjVxgK,0.927,0.495,4,0,0.304,0.0689,0.0000862,0.0826,0.618,96.372,236467,-8.778
Anything,3T,2AtBXRPCZhtIqSGF5ap33B,0.686,0.454,10,0,0.0328,0.43,0.00021,0.286,0.645,131.977,321000,-10.928
Fu-Gee-La,Fugees,1rJM37Dd4OcSJvzI84yCcP,0.682,0.505,1,1,0.138,0.137,0,0.234,0.4,89.954,260067,-11.709
Stayin' Alive,N-Trance,7pcjhiKODADooP7IFPgetr,0.805,0.863,6,0,0.0771,0.0515,0.000427,0.98,0.826,106.787,245907,-7.853
Give Me...A Reason,Buffy,4KazaC4HTYKJarG7jfaLYY,0.691,0.731,0,1,0.0371,0.0079,0.0000111,0.108,0.83,123.044,304160,-9.675
Only Love (The Ballad Of Sleeping Beauty),Sophie B. Hawkins,0JVeSuoJzA8O8zbkZmZMPT,0.656,0.733,9,1,0.031,0.425,0,0.0712,0.437,104.999,302693,-6.87
One Of Us,Joan Osborne,1xNmF1Uep5OGutizZSbKvd,0.316,0.499,9,1,0.0298,0.0108,0.0000181,0.126,0.403,174.782,320467,-7.899
Time,Hootie & The Blowfish,1N0UflnZhn7xOkrN2l8zxx,0.387,0.875,2,1,0.0385,0.0373,0,0.152,0.238,105.1,296840,-5.741
Real Love,The Beatles,5frMgt4jqRGJk3yMKfqOyl,0.375,0.694,8,1,0.031,0.0458,0.019,0.257,0.405,175.726,234053,-7.334
High And Dry,Radiohead,5jafMI8FLibnjkYTZ33m0c,0.418,0.383,4,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773,257480,-11.782
Where Do U Want Me To Put It,Solo,2PezcbOknrIxEylhhzedVT,0.782,0.759,8,1,0.0447,0.261,0,0.102,0.779,87.01,243667,-5.87
No One Else,Total,2IOQOWr4P14saZqZlM7k84,0.782,0.515,6,0,0.3,0.185,0.0000134,0.0577,0.791,182.19,260467,-8.215
Keep Tryin',Groove Theory,0MXNzVX7zTva4U569d5oOq,0.634,0.598,2,1,0.0962,0.0997,0.00035,0.298,0.729,83.082,260440,-10.415
La Familia,Frost,3jL4onzSw31cbGqj44I2fu,0.833,0.704,4,1,0.181,0.0351,0.000309,0.123,0.647,101.407,243800,-7.107
Drop,The Pharcyde,7sT3O2PXs1o12XnCKlv204,0.849,0.744,10,0,0.274,0.301,0.00000479,0.234,0.695,95.098,334467,-6.993
Breakfast At Tiffany's,Deep Blue Something,1uzWOoJdADfstQuFtQFTUn,0.622,0.829,2,1,0.029,0.11,0,0.0954,0.539,110.367,257373,-5.548
Soon As I Get Home,Faith Evans,6SkGfPa77E4giShVbk9N6R,0.652,0.498,11,1,0.0416,0.517,0,0.149,0.321,120.144,324280,-6.201
Set U Free,Planet Soul,3lX3jXOthWEzahVB1JSC2D,0.636,0.645,6,1,0.0873,0.101,0.0000164,0.0686,0.711,128.43,258933,-11.64
Caught A Lite Sneeze,Tori Amos,2k2Nwz0FLUIKl7UyavRhjx,0.6,0.772,5,0,0.0444,0.37,0.00000446,0.0641,0.921,79.059,265213,-8.483
Physical Funk,Domino,6nucK6yzNsXRgIa9hKKbFT,0.755,0.621,9,1,0.394,0.00965,0,0.0927,0.621,99.453,213034,-7.384
Hey Lover,LL Cool J,5wG7d4cNogw0ETKaICPEYA,0.707,0.427,5,0,0.0701,0.339,0,0.105,0.542,88.08,284693,-12.216
Tell Me,Groove Theory,2lp8xjq0WTm3HZKHuDEweg,0.8,0.361,6,0,0.0635,0.0355,0.00000375,0.0668,0.887,93.059,236067,-10.849
Everyday & Everynight,Yvette Michele,5sIzSNxjMHT4oOajhanNVY,0.72,0.559,10,0,0.259,0.0952,0.0148,0.172,0.597,97.865,211400,-7.519
It Matters To Me,Faith Hill,3rXdABev6vQtBCElztIl7m,0.613,0.355,6,1,0.0247,0.567,0,0.0909,0.129,135.622,197667,-8.218
As I Lay Me Down,Sophie B. Hawkins,6S8ZXzeXsfCj8qi9179McI,0.519,0.737,10,1,0.0437,0.645,0.00000177,0.271,0.668,82.999,248893,-8.7
Diggin' On You,TLC,2W2vmNmTLERMWT9XBxm35E,0.719,0.631,6,1,0.0451,0.0235,0.702,0.0686,0.456,80.126,254560,-7.411
Ridin' Low,L.A.D.,3PT25AfBT85mAQxqwyaLSh,0.699,0.722,5,1,0.0735,0.158,0.000452,0.0523,0.673,197.562,252360,-6.532
Let Your Soul Be Your Pilot,Sting,16aRACBCJ5pqNCeDJOIZf4,0.647,0.574,10,1,0.0224,0.368,0.000496,0.11,0.543,96.02,403533,-9.127
You Remind Me Of Something,R. Kelly,01rYWOpu72uFQORnWN84C3,0.631,0.536,6,1,0.0586,0.591,0,0.108,0.829,59.999,249920,-7.194
Bullet With Butterfly Wings,The Smashing Pumpkins,6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,10,0,0.0626,0.0000559,0.836,0.0466,0.475,121.649,258467,-9.18
Beautiful Life,Ace Of Base,74jTexO94dFGyXGyeu8krd,0.749,0.988,0,0,0.0387,0.202,0.00631,0.17,0.749,135.015,221187,-5.266
Fantasy,Mariah Carey,6xkryXuiZU360Lngd4sx13,0.671,0.727,7,1,0.035,0.139,0,0.123,0.801,102.358,243493,-7.585
Blessed,Elton John,7cBikvmY2ZYM0eQlQGOwQu,0.601,0.412,5,1,0.0361,0.147,0.00585,0.263,0.464,204.064,300733,-11.963
Love U 4 Life,Jodeci,02D9uD9WQb834Lb54xCvDS,0.606,0.648,0,1,0.0466,0.349,0,0.639,0.646,59.041,290067,-7.802
Sexual Healing,Max-A-Million,4eeq2yQUeYn8Us9JwPS46y,0.775,0.745,8,1,0.0563,0.0268,0,0.27,0.691,99.008,243613,-7.167
Too Hot,Coolio,3YudkhBvFZDDcZF8nNtnc5,0.845,0.407,7,1,0.203,0.089,0.00985,0.222,0.576,102.598,218933,-14.983
Where Ever You Are,Terry Ellis,2AyRyaIASwwqE7RNVCedss,0.732,0.499,5,1,0.0346,0.52,0.00000862,0.0842,0.428,134.027,298080,-6.794
Promises Broken,Soul Asylum,01UkIu8bp3GNclU8DsFKgv,0.472,0.475,4,1,0.0311,0.138,0.00000304,0.113,0.718,150.611,194587,-11.115
Energy,Devone,67ce4ijDUFO9MGi9QY6Cfs,0.667,0.898,0,1,0.266,0.132,0,0.0894,0.488,111.962,221572,-5.775
Roll To Me,Del Amitri,7LF0YY1gON8rBECsyEs0Wb,0.567,0.821,6,1,0.0371,0.418,0,0.108,0.895,150.106,132307,-5.894
Only Wanna Be With You,Hootie & The Blowfish,1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6,1,0.0355,0.107,0.00000519,0.118,0.513,103.272,229587,-5.861
Dreaming Of You,Selena,5EL8hqM8YQJHKKnzGdahly,0.553,0.458,8,1,0.0381,0.325,0.0000971,0.0583,0.247,165.807,314867,-10.796
Just Tah Let U Know,Eazy-E,6ZZOVqeM7Cvpxjv9zqvFt5,0.736,0.741,8,0,0.292,0.0645,0,0.137,0.579,92.65,248867,-3.857
Not A Dry Eye In The House,Meat Loaf,1t4DCqjSKQpCtO0CAW72XY,0.584,0.562,4,1,0.0271,0.623,0,0.0999,0.368,92.665,354333,-9.003
Free As A Bird,The Beatles,6hLY3Tz1Xt5kBuKNDTs4ib,0.474,0.503,9,1,0.0279,0.0438,0.016,0.153,0.457,72.323,265293,-9.074
Get Together,Big Mountain,7Jivh0vTRGrCVOz55GDYJ4,0.68,0.914,0,1,0.0418,0.0529,0.00493,0.226,0.879,97.055,303133,-7.392
Carnival,Natalie Merchant,4QXhRjZacZ1gZUeL7Ukktw,0.601,0.48,6,0,0.0732,0.2,0.0955,0.0297,0.802,188.214,361107,-11.41
Back For Good,Take That,4CPTAJth9JiuKYaMIemmDD,0.6,0.504,5,1,0.0292,0.308,0,0.137,0.547,78.961,242267,-9.761
Hooked On You,Silk,31lLKnvcv9OLCq9uQoxOzb,0.598,0.56,6,1,0.0278,0.0429,0.000012,0.12,0.775,179.529,289933,-7.401
When Love & Hate Collide,Def Leppard,7Bj6xscdWnY8sarktaK19U,0.477,0.564,4,1,0.028,0.0111,0,0.221,0.292,67.965,257680,-8.582
Throw Your Hands Up,L.V.,5AQXqGCGr4AIKsWDMv18YB,0.849,0.727,9,0,0.0534,0.148,0.0000217,0.0453,0.7,100.927,230227,-4.572
East 1999,Bone Thugs-N-Harmony,55RXcZ0Mpwt97vj2Angnn1,0.878,0.607,11,0,0.149,0.0748,0,0.659,0.735,129.472,261773,-9.032
Kiss From A Rose,Seal,3YKptz29AsOlm7WAVnztBh,0.583,0.532,10,0,0.0309,0.684,0,0.306,0.223,131.741,288427,-7.11
Run-Around,Blues Traveler,500Tkm3vJmVtdUwdCVxCTb,0.629,0.867,7,1,0.0603,0.0865,0,0.126,0.876,151.695,279800,-7.307
Cell Therapy,Goodie Mob,5wvxRlpUTSX9CE52yFZsIY,0.849,0.476,0,1,0.445,0.0966,0,0.105,0.48,83.21,277133,-10.479
Who Can I Run To,Xscape,0wdaPticLmmqJdhgLDJ9zI,0.71,0.545,4,1,0.0588,0.483,0,0.0644,0.632,140.233,216333,-9.599
Automatic Lover (Call For Love),Real McCoy,7CEPvXcCMeCSBrMI72ayLm,0.688,0.98,5,0,0.034,0.0693,0.462,0.16,0.538,132.992,227933,-4.862
Danger,Blahzay Blahzay,5hHdrN23SMuJkAsoyUcN24,0.723,0.739,0,1,0.401,0.403,0,0.365,0.805,177.886,225267,-7.943
Solitude,Edwin McCain,6uBuOIQ8IXwahQav3ueeXt,0.601,0.494,9,1,0.0422,0.63,0.00000747,0.132,0.308,79.976,270747,-10.304
Fast Life,Kool G Rap,4TyOdHslAsrWZyXuStT2Ay,0.837,0.774,6,1,0.266,0.0273,0,0.365,0.668,91.174,293627,-8.707
Boom Boom Boom,The Outhere Brothers,3zg4stPJlbNSBPA8HJzLZA,0.723,0.857,7,1,0.241,0.0523,0.0000266,0.149,0.642,129.87,201893,-9.989
Throw Your Set In The Air,Cypress Hill,5DLTWfzNkhcIIdNLqoVfxf,0.776,0.731,9,1,0.43,0.0945,0.000274,0.318,0.485,92.394,245800,-12.264
I Remember,Boyz II Men,2BBbO8FKLzaYgmAA73kUE7,0.725,0.453,1,1,0.0992,0.144,0,0.0358,0.72,98.437,281547,-9.376
Rosealia,Better Than Ezra,2NlX2HYLvnqpD8v1sBOUyK,0.392,0.676,7,1,0.0327,0.00567,0.000111,0.155,0.548,120.926,278973,-11.914
December,Collective Soul,3yi27cGUFPTQUdWZV9nV67,0.684,0.645,0,1,0.0272,0.589,0.00432,0.18,0.366,121.995,285000,-5.707
Do You Sleep?,Lisa Loeb & Nine Stories,43RL5EuY4yHXDKIbvtHWJ7,0.643,0.671,1,0,0.0296,0.0383,0.0000465,0.0496,0.26,90.396,233493,-7.158
Hurricane,The Click,5qiDen4GXbcZixkS114QXw,0.824,0.48,0,0,0.144,0.178,0,0.167,0.724,88.029,261080,-6.745
A Mover La Colita,Artie The 1 Man Party,1NqWH3La3cW4HfYfVmUbYu,0.82,0.761,0,1,0.0818,0.0000766,0.263,0.0184,0.803,129.153,168227,-8.543
East Side Rendezvous,Frost,3GzVpLKf9FHc5SoxhAVPeS,0.798,0.561,4,0,0.147,0.412,0,0.0446,0.785,83.971,273400,-8.625
Waterfalls,TLC,6qspW4YKycviDFjHBOaqUY,0.77,0.505,1,1,0.0828,0.311,0.000074,0.0777,0.757,171.798,279507,-7.345
Come With Me,Shai,09s7AzC1vXpkIBS8xphJgP,0.569,0.32,2,1,0.0323,0.644,0,0.244,0.321,183.539,279960,-8.965
Runnin',The Pharcyde,0XgpiStoxq1IJncYlPrvZ5,0.768,0.787,10,0,0.144,0.0283,0.00122,0.317,0.855,94.104,296267,-8.178
Brokenhearted,Brandy,6AzzMupvtP4u4B8d5OWVUi,0.329,0.517,6,1,0.0353,0.488,0,0.0985,0.408,149.758,286493,-7.178
Sentimental,Deborah Cox,1W8dIZW0oC716qoaL9NwJH,0.773,0.79,5,1,0.0782,0.193,0,0.0356,0.712,88.977,270333,-8.057
"The Riddler (From ""Batman Forever"")",Method Man,0GzXo2jahyCJbyTEo5fqCB,0.798,0.668,10,1,0.091,0.0571,0.00987,0.204,0.438,168.039,213733,-4.824
Comedown,Bush,2ox1STg6AbcEHoHWlFtFwr,0.46,0.81,11,0,0.0557,0.0000654,0.000189,0.123,0.38,139.671,326667,-5.008
You Are Not Alone,Michael Jackson,3AoeaZs8dFemFJr3JdzOL0,0.651,0.402,11,1,0.0281,0.639,0.0000809,0.0764,0.256,119.878,345600,-9.303
Pretty Girl,Jon B,15CWHmExq00wqaOeQX7uiB,0.696,0.521,0,1,0.0339,0.398,0,0.339,0.646,93.056,258107,-9.32
I Like I, Love It,34iRIRrwcT8q6uF1345Xtd,0.612,0.876,2,1,0.037,0.0484,0,0.205,0.634,156.02,210347,-6.439
1st Of Tha Month,Bone Thugs-N-Harmony,1dF5Y2dd7Wm4wZKvVjWBpr,0.729,0.581,5,0,0.18,0.0777,0.00000381,0.696,0.508,74.038,314680,-8.235
I Can Love You Like That,All-4-One,4OnZR9U5JRFGF1Yza9j579,0.635,0.712,8,1,0.0283,0.0811,0,0.322,0.423,91.024,257960,-4.998
Wings Of The Morning,Capleton,6NY8PMePZSyy2YPzJlhO7H,0.818,0.769,4,0,0.196,0.113,0.0000235,0.118,0.728,88.015,231667,-4.428
Gold,Prince,68XDZSuCJdT8ld3W48F4Fk,0.531,0.856,10,1,0.0288,0.00369,0.000137,0.13,0.44,90.015,442747,-3.241
Friends Of P.,The Rentals,5NjIog0vXS0VBWa5a94vzJ,0.613,0.721,1,1,0.0252,0.000641,0.000016,0.13,0.763,107.956,212267,-6.868
Heaven,Solo,5Xv3eesPSCo1YVdU2RePWe,0.678,0.544,9,0,0.041,0.628,0.00000792,0.0894,0.759,175.981,229027,-6.7
Runaway,The Corrs,6csX1JjmeoLhGqMBXGnZF0,0.423,0.598,5,1,0.0268,0.641,0.00000124,0.34,0.521,151.972,265133,-7.443
Let Me Be The One,Blessid Union Of Souls,1JCZW25j2yONeYZhVksSNw,0.562,0.799,7,1,0.0463,0.095,0.0000225,0.217,0.425,88.032,278333,-8.958
Never Alone (Eeyore's Lullaby),Tyler Collins,7dX6DtgaRipA0ESYdu1yPh,0.597,0.48,0,1,0.0259,0.741,0.00000223,0.104,0.256,107.639,172307,-6.425
Molly (Sixteen Candles),Sponge,6nvixw7XmqBSuYVpgCqvPY,0.504,0.775,1,1,0.0331,0.0614,0.0000226,0.307,0.842,101.827,215000,-7.844
Funny How Time Flies,Intro,6JFqUBSzyeBo0G6WFSrzjk,0.643,0.7,10,0,0.221,0.02,0,0.115,0.578,170.159,284573,-6.814
Last Dayz,Onyx,0usovqilR2yhLw9zWEaWzk,0.625,0.621,10,0,0.439,0.0193,0.0000304,0.124,0.771,88.216,224253,-9.595
'Til You Do Me Right,After 7,3kGMziz884MLV1oCwrarmN,0.663,0.462,2,0,0.0252,0.306,0,0.0687,0.431,76.794,295000,-8.784
I Wanna B With U,Fun Factory,21ppXSj8KOGXWmLu35tKMd,0.762,0.863,7,1,0.0472,0.0869,0,0.101,0.57,100.003,213600,-4.124
Can I Touch You...There?,Michael Bolton,0DTpV2HP75LNhCEkvq1FhV,0.555,0.841,0,1,0.351,0.281,0,0.244,0.802,82.871,315893,-6.704
Vibin',Boyz II Men,2Y9VaMYMbwkx8JmHLQpQ4X,0.707,0.445,1,1,0.0337,0.0187,0.0011,0.0699,0.605,90.981,267893,-10.081
Bomdigi,Erick Sermon,6tRh6OfYIZbZhq6uQVBaF3,0.793,0.634,7,1,0.327,0.00388,0.0000174,0.0713,0.752,90.964,214133,-9.744
West Up!,WC & The Maad Circle,3nBeTAYJqOOp2pweHRrmhK,0.843,0.837,7,1,0.267,0.261,0,0.222,0.774,89.095,284267,-5.37
I Got 5 On It,Luniz,4IYKjN1DrYzxKXt0umJqsG,0.6,0.706,10,0,0.361,0.209,0,0.125,0.58,173.926,253533,-7.899
"Colors Of The Wind (From ""Pocahontas"")",Vanessa Williams,7xG1fakElLbxwyr9eyGEK6,0.55,0.241,10,1,0.0482,0.395,0.0000237,0.104,0.135,83.964,257867,-18.092
Sugar Hill,AZ,0lZWjBImx6kNe3WtOA09Xu,0.683,0.648,8,1,0.188,0.000693,0.00000629,0.0693,0.532,181.874,249760,-7.332
Real Hip Hop,Das EFX,7Kutf53V4k0CvU4nKu5oK6,0.858,0.76,4,0,0.254,0.0217,0,0.322,0.951,93.082,247613,-7.895
Somethin' 4 Da Honeyz,Montell Jordan,0qr7aS1xeJEgpA4OVHOHcz,0.72,0.7,4,0,0.0802,0.0119,0,0.202,0.764,93.167,276107,-8.333
Good,Better Than Ezra,0ttHpMs250dpFkCYAnuhnE,0.615,0.657,7,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185093,-6.873
You Used To Love Me,Faith Evans,0KhXVmAN4sqeEgsqRd39f2,0.702,0.458,0,1,0.035,0.247,0.00000164,0.126,0.678,89.271,269173,-8.195
Downtown Venus,P.M. Dawn,0cjoYOTdvKUrEZVzsxsNOE,0.602,0.837,8,0,0.0894,0.0129,0.000181,0.161,0.824,99.019,213133,-10.22
Scatman (Ski-Ba-Bop-Ba-Dop-Bop),Scatman John,623rRTKwGmgjH6sjE9uWLh,0.65,0.82,5,0,0.0356,0.0655,0.00274,0.215,0.757,135.982,215973,-10.9
Let Her Cry,Hootie & The Blowfish,6NGi23FFKq9tH5NR1NcTw2,0.352,0.698,7,1,0.0303,0.0353,0,0.113,0.256,142.57,318533,-6.278
Water Runs Dry,Boyz II Men,7yhmvQh1JOzbNiNFQo4Tfc,0.589,0.368,0,1,0.0264,0.475,0,0.108,0.523,89.626,201400,-12.979
One More Chance/Stay With Me,The Notorious B.I.G.,7fXhkARAtS66kxexMIAx8O,0.725,0.68,0,1,0.224,0.149,0,0.127,0.695,90.964,268707,-6.037
Temptations,2Pac,1PU3Hy2uNXmWGDe9gh4Ukb,0.782,0.665,1,1,0.0754,0.135,0.00000315,0.438,0.707,90.709,300573,-7.211
Sittin' On Chrome,Masta Ace Incorporated,6g6iuGWVZVvNDylillKqrL,0.862,0.616,1,1,0.223,0.00324,0.000592,0.321,0.552,91.065,247973,-10.76
Crazy Cool,Paula Abdul,6RH2MM9oW0wgdUnD6yIv0v,0.642,0.834,1,0,0.111,0.0375,0.00000355,0.12,0.569,87.955,282427,-5.967
I Wish,Skee-Lo,3LklW07tvdx2AHsgfi1Mng,0.669,0.809,7,1,0.147,0.00137,0,0.38,0.572,97.885,249293,-7.146
Every Little Thing I Do,Soul For Real,5u3rsmRYRSKJpFHXPT4p07,0.713,0.378,7,0,0.0298,0.00561,0.00186,0.0845,0.291,99.055,260067,-9.04
The Bomb! (These Sounds Fall Into My Mind),The Bucketheads,5yp4U4b172RqYuUexORgVX,0.832,0.897,9,0,0.0377,0.00258,0.591,0.386,0.758,125.888,484533,-5.093
Come And Get Your Love,Real McCoy,0XVikcHfkoBvJ5ZU8xQBWn,0.736,0.864,8,1,0.0397,0.0179,0.0000162,0.345,0.763,108.828,194560,-6.567
I Love You/You Bring Me Joy,Mary J. Blige,2FzVFBdP14l3s8D97e8jov,0.771,0.672,11,0,0.0527,0.33,0.000208,0.156,0.753,91.048,295893,-9.281
This Ain't A Love Song,Bon Jovi,0ZLBD6hHGN9LYOtNlu2n8e,0.348,0.635,4,1,0.0386,0.0932,0,0.126,0.144,87.974,306240,-6.836
Feel Me Flow,Naughty By Nature,6Kp8tQd95YPSrSUTkll2Of,0.805,0.754,8,0,0.156,0.0468,0.00000179,0.0855,0.844,90.214,212560,-6.679
Walk In The Sun,Bruce Hornsby,5B9SeOQHiyvheYaAfBq7ml,0.703,0.804,2,1,0.0291,0.12,0.00632,0.0541,0.965,122.013,282053,-7.338
Feels So Good,Xscape,0b0vpt8e3AkV3GG8HoUEJm,0.712,0.454,7,1,0.0478,0.0162,0.00000123,0.111,0.659,82.619,212040,-9.029
The Hearts Filthy Lesson,David Bowie,3cEhKEi1L86vFObrip0KDX,0.565,0.798,11,0,0.087,0.00146,0.0201,0.33,0.433,88.954,297560,-8.295
Rock And Roll Is Dead,Lenny Kravitz,1os9lKQD0M56nlIiXbWpE5,0.36,0.932,2,1,0.0565,0.000343,0.0314,0.111,0.805,185.926,203933,-7.726
I Know,Dionne Farris,698R7h4SU5zyNil1iReHAX,0.589,0.962,7,1,0.181,0.0502,0.00225,0.242,0.503,103.396,227827,-6.815
Best Friend,Brandy,0YwUJOHKYxlm5gVfIkl8Ym,0.696,0.49,6,0,0.0347,0.155,0.000351,0.0563,0.557,179.825,288840,-6.631
On The Down Low,Brian McKnight,1FnRCmbcdYWTWcjswVXg2W,0.66,0.689,4,1,0.206,0.407,0.000731,0.0737,0.72,185.994,298773,-8.442
Send Me On My Way,Rusted Root,6hs3SDnbO3f6VQuPO4KBEb,0.5,0.681,0,1,0.0672,0.114,0.0000401,0.139,0.745,119.46,263333,-9.556
Round & Round,Twinz,13Mzo1l88eZPohxdl5T1qv,0.632,0.478,11,0,0.321,0.0111,0.0000636,0.34,0.532,94.644,221067,-7.921
Pull Up To The Bumper,Patra,1zGurRysA9yFI5qa7gaR8O,0.798,0.801,1,1,0.139,0.0773,0.000384,0.2,0.667,107.516,291493,-5.858
Sick Of Myself,Matthew Sweet,4inXYz8i3xRpNbxZJ99Clo,0.433,0.829,11,1,0.044,0.0126,0.0000236,0.084,0.822,122.733,218560,-7.715
You Have The Right To Remain Silent,Perfect Stranger,7KgBgVGO5Ey46Z8r78eKAG,0.577,0.436,2,1,0.0275,0.411,0,0.107,0.442,163.928,210867,-10.988
So Many Tears,2Pac,0NzNKU2MJ9LCetT2uZMJH2,0.899,0.6,1,1,0.154,0.0184,0.0000168,0.0725,0.586,92.717,239227,-7.451
Hey Now (Girls Just Want To Have Fun),Cyndi Lauper,6roQwIuTgi0hhUkMy3UqW6,0.78,0.755,6,1,0.0392,0.0461,0.00875,0.383,0.862,101.557,232907,-5.604
Girlstown,Super Cat,5kO0QdeWWoc1c0pH10OBPC,0.849,0.645,1,1,0.0884,0.0132,0.0000348,0.0839,0.533,93.928,242600,-7.841
I Can't Tell You Why,Brownstone,74oQkrFn64k3furu8GoBLr,0.476,0.453,11,0,0.0306,0.27,0.000253,0.107,0.41,176.067,245992,-13.593
Total Eclipse Of The Heart,Nicki French,2hPOOLM9Oefyy43eAXR4Hf,0.575,0.912,0,1,0.0285,0.00463,0.0000601,0.352,0.591,135.988,232347,-7.039
Keeper Of The Flame,Martin Page,1mrmYropNyzuJlyHxeJOT6,0.679,0.765,7,1,0.0378,0.216,0.000303,0.0427,0.885,77.726,364000,-10.017
Human Nature,Madonna,4Cna7QxOOTNnylVHLtShCi,0.691,0.571,10,0,0.0347,0.0313,0.206,0.118,0.641,92.528,293933,-7.737
Misery,Soul Asylum,1uGht4m9AVY641N2DzoPpi,0.38,0.643,0,1,0.0287,0.0000486,0.0000267,0.244,0.297,113.674,264360,-8.304
Have You Ever Really Loved A Woman?,Bryan Adams,32Gf5A7Hr8RdgggXG0Fdks,0.57,0.478,7,1,0.0322,0.536,0.0000133,0.0931,0.358,145.517,291667,-10.185
Take Your Time (Do It Right),Max-A-Million,2fgoo2VrxMVXpNdvjomY1i,0.842,0.961,5,1,0.0421,0.0193,0.0087,0.425,0.939,122.979,220333,-6.134
Big Yellow Taxi,Amy Grant,5reaWOvB4w0Gp8KjwKXqcu,0.547,0.832,4,1,0.0419,0.388,0,0.109,0.887,82.071,181853,-3.071
Awake,Letters To Cleo,3tcnMlMoipbsAv52IXWWsV,0.493,0.916,4,1,0.0501,0.0000375,0.0000241,0.115,0.589,128.615,234627,-7.173
Not On Your Love,Jeff Carson,04bs5EpVXhbPkqV9uwOAM9,0.563,0.524,6,1,0.0225,0.432,0,0.272,0.252,86.496,202333,-7.62
I Believe,Blessid Union Of Souls,7qnNnQTGxdzI2wZWpa0vDD,0.491,0.458,11,1,0.027,0.653,0,0.164,0.238,141.724,267447,-8.159
Made In England,Elton John,5mZHT7OH6mz0vpqDQeHBbd,0.615,0.88,0,1,0.0411,0.0386,0.00371,0.364,0.707,139.001,308107,-8.499
My Up And Down,Adina Howard,3XmaNnRquEYkDjw2ODrjjz,0.712,0.647,8,1,0.0987,0.206,0.00000105,0.046,0.7,140.216,221093,-4.149
Hey Man Nice Shot,Filter,5pQEExRHWM9XnghO6bhdLJ,0.479,0.588,2,1,0.0339,0.00214,0.709,0.319,0.305,177.014,314440,-10.773
Stutter,Elastica,3ZGQMBLN5qpkR6R5qEuuUm,0.176,0.98,11,1,0.0721,0.0384,0.552,0.237,0.302,172.566,142200,-3.154
This Is How We Do It,Montell Jordan,6uQKuonTU8VKBz5SHZuQXD,0.799,0.623,0,1,0.0812,0.0141,0,0.43,0.773,103.649,238800,-9.374
I Wanna Love Like That,Tony Thompson,4r6jPijW3d5iV0eBFVccsa,0.803,0.557,10,0,0.0404,0.151,0.00000764,0.0428,0.777,89.134,307067,-8.446
